伏見稲荷大社,fushimiinaritaisha, ふしみいなりたいしゃ
永観堂,eikando
無鄰菴,mu
白川院跡,shirakawainato
法勝寺跡,hosshojiato
岡崎神社,okazakijinja
文殊塔,monjuto
西翁院,nishiokinain
金戒光明寺,kimukomyoji
真如堂,shinnyodo
迎称寺,mukaishotera
後一条天皇陵,goichijotennoryou
宗忠神社,sotadashijinja
東北院,tohokuin
吉田神社,yoshidajinja
詩仙堂,shisendo
八大神社,hachidaijinja
一乗寺,ichijoji
狸谷山不動院,tanukiyayamafudoin
金福寺,kimufukutera
本願寺北山別院,honganjikitayamabetsuin
石川丈山墓,ishikawajozanhaka
北白川天神宮,kitashirakawatenjingu
八神社,hachijinja
法然院,honenin
安楽寺,anrakuji
霊鑑寺,reikanji
大豊神社,taihojinja
若王子神社,wakaojijinja
永観堂,eikando
禅林寺,zenrinji
日向大神宮,hinatadaijingu
本圀寺,hongokuji
天智天皇陵,tenjitennoryo
大乗寺,daijoji
元慶寺,motokeiji
阿弥陀寺,amidaji
僧正遍昭墓,sojohenjohaka
竹林,chikurin
東映太秦映画村,toeiuzumasaeigamura
京都御苑,kyotogyoen
哲学の道,tetsugakunomichi
円山公園,maruyamakoen
